time,usdjpy close,usejpy volume,eurusd close,eurusd volume
2/7/19 2:00,109.948,6430,1.13597,2577
2/7/19 6:00,110.014,8642,1.1345,12542
2/7/19 10:00,109.764,13901,1.13309,19883
2/7/19 14:00,109.793,20637,1.13492,17466
2/7/19 18:00,109.816,10027,1.13389,8081
2/7/19 22:00,109.736,11220,1.13376,3196
2/8/19 2:00,109.742,8404,1.13394,3197
2/8/19 6:00,109.837,9955,1.13256,12268
2/8/19 10:00,109.821,9081,1.1347,11823
2/8/19 14:00,109.722,16193,1.13298,17435
2/8/19 18:00,109.754,5099,1.13221,5119
2/10/19 22:00,109.803,4918,1.13274,2484
2/11/19 2:00,109.984,8251,1.13242,2441
2/11/19 6:00,110.252,11082,1.13026,12056
2/11/19 10:00,110.365,10982,1.13104,14566
2/11/19 14:00,110.456,15125,1.12707,18342
2/11/19 18:00,110.382,6539,1.12757,6239
2/11/19 22:00,110.468,11810,1.12823,3141
2/12/19 2:00,110.574,9408,1.12794,3271
2/12/19 6:00,110.548,9426,1.12744,13335
2/12/19 10:00,110.435,7130,1.12926,12698
